Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL OD FOW in trips file net/WL_TR1_DR0.75_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 145708.000000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.534 s.
Iteration 90: gap 0.000019408543479, obj 731476548.223618, time 15.766, 24571 shifts
Iteration 91: gap 0.000019828469471, obj 731476512.274765, time 15.895, 24725 shifts
Iteration 92: gap 0.000019599943235, obj 731476473.327245, time 16.045, 24930 shifts
Iteration 93: gap 0.000015979383660, obj 731476445.211084, time 16.180, 25098 shifts
Iteration 94: gap 0.000015680927011, obj 731476405.614274, time 16.354, 25369 shifts
Iteration 95: gap 0.000015855100800, obj 731476378.401707, time 16.467, 25495 shifts
Iteration 96: gap 0.000022711328874, obj 731476352.037236, time 16.632, 25678 shifts
Iteration 97: gap 0.000015727123806, obj 731476231.343746, time 16.764, 25846 shifts
Iteration 98: gap 0.000015874822972, obj 731476201.834775, time 16.928, 26031 shifts
Iteration 99: gap 0.000014732817037, obj 731476199.906363, time 17.004, 26102 shifts
Iteration 100: gap 0.000014681838867, obj 731476152.593562, time 17.171, 26335 shifts
Aggregate TSTT: 1912091936.723793
