Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 77667.400000 trips for class 1 (77737.300000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.194 s.
Iteration 89: gap 0.000010738730726, obj 240445001.003171, time 7.519, 14834 shifts
Iteration 90: gap 0.000011639341848, obj 240445000.661103, time 7.585, 14904 shifts
Iteration 91: gap 0.000010542186256, obj 240444998.35025, time 7.652, 14994 shifts
Iteration 92: gap 0.000010250160593, obj 240444997.671627, time 7.718, 15069 shifts
Iteration 93: gap 0.000011573978256, obj 240444997.339802, time 7.784, 15139 shifts
Iteration 94: gap 0.000010431472768, obj 240444995.021401, time 7.858, 15255 shifts
Iteration 95: gap 0.000011595813212, obj 240444993.378178, time 7.933, 15358 shifts
Iteration 96: gap 0.000011441456258, obj 240444992.716499, time 7.997, 15435 shifts
Iteration 97: gap 0.000010203845572, obj 240444989.725393, time 8.068, 15562 shifts
Iteration 98: gap 0.000011219874061, obj 240444989.383849, time 8.138, 15631 shifts
Iteration 99: gap 0.000010349870692, obj 240444988.39755, time 8.205, 15723 shifts
Iteration 100: gap 0.000011235981852, obj 240444988.070232, time 8.274, 15793 shifts
Aggregate TSTT: 295621951.037821
